Inkomensgroep;Alle huishoudens;tot 25 jaar;25 tot 35 jaar;35 tot 45 jaar;45 to 55 jaar;55 tot 65 jaar;65 tot 75 jaar;75 jaar en ouder
tussen -6 en -4 dzd euro;1;0;0;0;0;0;0;0
tussen -4 en -2 dzd euro;3;1;0;0;0;1;0;0
tussen -2 en 0 dzd euro;32;22;5;1;1;1;1;1
tussen 0 en 2 dzd euro;47;30;6;2;2;2;1;3
tussen 2 en 4 dzd euro;53;30;9;3;4;4;1;3
tussen 4 en 6 dzd euro;53;27;9;4;4;5;2;3
tussen 6 en 8 dzd euro;58;26;11;5;5;6;2;4
tussen 8 en 10 dzd euro;58;22;11;5;6;6;3;5
tussen 10 en 12 dzd euro;73;20;15;7;10;11;4;6
tussen 12 en 14 dzd euro;121;20;24;15;20;24;8;10
tussen 14 en 16 dzd euro;275;18;40;34;54;80;22;28
tussen 16 en 18 dzd euro;269;15;34;24;32;44;56;65
tussen 18 en 20 dzd euro;310;18;42;25;31;39;63;93
tussen 20 en 22 dzd euro;385;20;63;36;38;44;76;108
tussen 22 en 24 dzd euro;311;15;60;36;35;38;56;72
tussen 24 en 26 dzd euro;325;11;58;39;38;40;62;76
tussen 26 en 28 dzd euro;337;9;57;40;40;41;73;78
tussen 28 en 30 dzd euro;305;7;52;40;41;41;63;60
tussen 30 en 32 dzd euro;288;5;48;40;42;42;61;51
tussen 32 en 34 dzd euro;275;4;42;39;42;42;61;44
tussen 34 en 36 dzd euro;259;4;37;37;41;42;60;39
tussen 36 en 38 dzd euro;239;3;33;35;40;41;54;32
tussen 38 en 40 dzd euro;220;3;31;34;39;41;46;26
tussen 40 en 42 dzd euro;209;3;30;33;39;40;41;22
tussen 42 en 44 dzd euro;203;3;31;33;38;39;39;19
tussen 44 en 46 dzd euro;199;3;32;33;39;38;36;18
tussen 46 en 48 dzd euro;195;3;33;34;39;38;32;15
tussen 48 en 50 dzd euro;189;3;34;34;39;37;29;12
tussen 50 en 52 dzd euro;183;2;34;35;39;36;26;10
tussen 52 en 54 dzd euro;175;2;34;35;39;35;22;8
tussen 54 en 56 dzd euro;167;1;32;34;39;34;20;7
tussen 56 en 58 dzd euro;159;1;30;34;39;32;17;6
tussen 58 en 60 dzd euro;150;1;27;33;38;31;15;5
tussen 60 en 62 dzd euro;140;1;24;31;37;30;13;4
tussen 62 en 64 dzd euro;129;0;20;29;36;28;12;4
tussen 64 en 66 dzd euro;119;0;17;27;34;26;10;3
tussen 66 en 68 dzd euro;111;0;15;25;33;25;9;3
tussen 68 en 70 dzd euro;101;0;13;23;31;23;8;2
tussen 70 en 72 dzd euro;92;0;11;21;30;22;7;2
tussen 72 en 74 dzd euro;84;0;9;19;28;20;6;2
tussen 74 en 76 dzd euro;77;0;8;17;26;19;6;2
tussen 76 en 78 dzd euro;70;0;7;15;24;18;5;1
tussen 78 en 80 dzd euro;64;0;6;14;22;16;4;1
tussen 80 en 82 dzd euro;58;0;5;12;21;15;4;1
tussen 82 en 84 dzd euro;52;0;4;11;19;14;3;1
tussen 84 en 86 dzd euro;48;0;4;10;17;13;3;1
tussen 86 en 88 dzd euro;43;0;3;9;16;12;3;1
tussen 88 en 90 dzd euro;39;0;3;8;14;11;3;1
tussen 90 en 92 dzd euro;35;0;3;7;13;10;2;1
tussen 92 en 94 dzd euro;32;0;2;6;12;9;2;1
tussen 94 en 96 dzd euro;29;0;2;6;11;8;2;0
tussen 96 en 98 dzd euro;26;0;2;5;10;7;2;0
tussen 98 en 100 dzd euro;24;0;2;5;9;7;2;0
tussen 100 en 102 dzd euro;22;0;1;4;8;6;1;0
tussen 102 en 104 dzd euro;20;0;1;4;8;6;1;0
tussen 104 en 106 dzd euro;18;0;1;4;7;5;1;0
tussen 106 en 108 dzd euro;16;0;1;3;6;5;1;0
tussen 108 en 110 dzd euro;15;0;1;3;6;4;1;0
tussen 110 en 112 dzd euro;14;0;1;3;5;4;1;0
tussen 112 en 114 dzd euro;13;0;1;3;5;4;1;0
tussen 114 en 116 dzd euro;12;0;1;2;4;3;1;0
tussen 116 en 118 dzd euro;11;0;1;2;4;3;1;0
tussen 118 en 120 dzd euro;10;0;1;2;4;3;1;0
tussen 120 en 122 dzd euro;9;0;1;2;3;3;1;0
tussen 122 en 124 dzd euro;8;0;0;2;3;2;1;0
tussen 124 en 126 dzd euro;8;0;0;2;3;2;0;0
tussen 126 en 128 dzd euro;7;0;0;1;3;2;0;0
tussen 128 en 130 dzd euro;6;0;0;1;3;2;0;0
tussen 130 en 132 dzd euro;6;0;0;1;2;2;0;0
tussen 132 en 134 dzd euro;6;0;0;1;2;2;0;0
tussen 134 en 136 dzd euro;5;0;0;1;2;2;0;0
tussen 136 en 138 dzd euro;5;0;0;1;2;1;0;0
tussen 138 en 140 dzd euro;5;0;0;1;2;1;0;0
