"Bevolking op 1 januari en gemiddeld; geslacht, leeftijd en regio"
"Burgerlijke staat: Totaal burgerlijke staat"
"Regio's: Nederland"
"Perioden: 2020"
"Geslacht: Totaal mannen en vrouwen"
"";"Onderwerp"
"";"Bevolking op 1 januari";"Gemiddelde bevolking "
"Leeftijd";"aantal";"aantal"
"Totaal";"17407585";"17441500,0"
"0 jaar";"169497";"84135,0"
"1 jaar";"169918";"169925,5"
"2 jaar";"171951";"170196,0"
"3 jaar";"175319";"172257,5"
"4 jaar";"174787";"175641,5"
"5 jaar";"179581";"175095,0"
"6 jaar";"176215";"179860,5"
"7 jaar";"180969";"176561,0"
"8 jaar";"184787";"181377,0"
"9 jaar";"189871";"185189,5"
"10 jaar";"190581";"190254,0"
"11 jaar";"191201";"191032,5"
"12 jaar";"187633";"191602,5"
"13 jaar";"190949";"188035,5"
"14 jaar";"192840";"191332,0"
"15 jaar";"198577";"193205,0"
"16 jaar";"205420";"198985,5"
"17 jaar";"207149";"205973,5"
"18 jaar";"213523";"209660,0"
"19 jaar";"224489";"216798,0"
"20 jaar";"222532";"225771,0"
"21 jaar";"221651";"222836,5"
"22 jaar";"216297";"221998,0"
"23 jaar";"216448";"216939,0"
"24 jaar";"217657";"216907,0"
"25 jaar";"224513";"218162,5"
"26 jaar";"224987";"225216,5"
"27 jaar";"227651";"225785,0"
"28 jaar";"230336";"228544,0"
"29 jaar";"231478";"231335,0"
"30 jaar";"224067";"232425,5"
"31 jaar";"221567";"224917,0"
"32 jaar";"221012";"222348,5"
"33 jaar";"220272";"221761,5"
"34 jaar";"215185";"220990,0"
"35 jaar";"211608";"215795,0"
"36 jaar";"205694";"212209,5"
"37 jaar";"206135";"206207,0"
"38 jaar";"209787";"206704,5"
"39 jaar";"212604";"210331,5"
"40 jaar";"205400";"213077,0"
"41 jaar";"205351";"205831,0"
"42 jaar";"202233";"205725,5"
"43 jaar";"203832";"202653,0"
"44 jaar";"205192";"204167,5"
"45 jaar";"214175";"205446,5"
"46 jaar";"221397";"214498,5"
"47 jaar";"239141";"221592,5"
"48 jaar";"250414";"239304,0"
"49 jaar";"260941";"250605,0"
"50 jaar";"266187";"261013,0"
"51 jaar";"254922";"266185,5"
"52 jaar";"251934";"254852,0"
"53 jaar";"252798";"251774,0"
"54 jaar";"255985";"252632,0"
"55 jaar";"259958";"255735,5"
"56 jaar";"255085";"259630,5"
"57 jaar";"249709";"254741,5"
"58 jaar";"246676";"249268,0"
"59 jaar";"239164";"246109,5"
"60 jaar";"236163";"238541,0"
"61 jaar";"228921";"235425,0"
"62 jaar";"223075";"228162,5"
"63 jaar";"218121";"222239,5"
"64 jaar";"211518";"217184,5"
"65 jaar";"207231";"210560,5"
"66 jaar";"202623";"206128,0"
"67 jaar";"201498";"201391,5"
"68 jaar";"192697";"200204,5"
"69 jaar";"191999";"191388,0"
"70 jaar";"192332";"190623,5"
"71 jaar";"195686";"190734,0"
"72 jaar";"202910";"193906,0"
"73 jaar";"206012";"200907,0"
"74 jaar";"144279";"203817,0"
"75 jaar";"147609";"142438,0"
"76 jaar";"136821";"145481,0"
"77 jaar";"123046";"134671,0"
"78 jaar";"113620";"120826,0"
"79 jaar";"112104";"111301,5"
"80 jaar";"103556";"109576,0"
"81 jaar";"96472";"100877,5"
"82 jaar";"85299";"93724,0"
"83 jaar";"79209";"82489,0"
"84 jaar";"71520";"76215,0"
"85 jaar";"64712";"68566,0"
"86 jaar";"57004";"61557,0"
"87 jaar";"51687";"53800,5"
"88 jaar";"44320";"48439,0"
"89 jaar";"38478";"41163,5"
"90 jaar";"30638";"35342,0"
"91 jaar";"25338";"27913,0"
"92 jaar";"19731";"22836,5"
"93 jaar";"15653";"17590,5"
"94 jaar";"11758";"13761,0"
"95 jaar of ouder";"26713";"32576,0"
"95 jaar";"8855";"10221,5"
"96 jaar";"6362";"7602,0"
"97 jaar";"4374";"5357,0"
"98 jaar";"2833";"3648,0"
"99 jaar";"1891";"2335,0"
"100 jaar";"1074";"1530,0"
"101 jaar";"590";"856,0"
"102 jaar";"357";"465,5"
"103 jaar";"185";"279,0"
"104 jaar";"90";"141,0"
"105 jaar of ouder";"102";"141,0"
