Inkomensgroep;Alle huishoudens
tussen -6 en -4 dzd euro;1
tussen -4 en -2 dzd euro;3
tussen -2 en 0 dzd euro;32
tussen 0 en 2 dzd euro;47
tussen 2 en 4 dzd euro;53
tussen 4 en 6 dzd euro;53
tussen 6 en 8 dzd euro;58
tussen 8 en 10 dzd euro;58
tussen 10 en 12 dzd euro;73
tussen 12 en 14 dzd euro;121
tussen 14 en 16 dzd euro;275
tussen 16 en 18 dzd euro;269
tussen 18 en 20 dzd euro;310
tussen 20 en 22 dzd euro;385
tussen 22 en 24 dzd euro;311
tussen 24 en 26 dzd euro;325
tussen 26 en 28 dzd euro;337
tussen 28 en 30 dzd euro;305
tussen 30 en 32 dzd euro;288
tussen 32 en 34 dzd euro;275
tussen 34 en 36 dzd euro;259
tussen 36 en 38 dzd euro;239
tussen 38 en 40 dzd euro;220
tussen 40 en 42 dzd euro;209
tussen 42 en 44 dzd euro;203
tussen 44 en 46 dzd euro;199
tussen 46 en 48 dzd euro;195
tussen 48 en 50 dzd euro;189
tussen 50 en 52 dzd euro;183
tussen 52 en 54 dzd euro;175
tussen 54 en 56 dzd euro;167
tussen 56 en 58 dzd euro;159
tussen 58 en 60 dzd euro;150
tussen 60 en 62 dzd euro;140
tussen 62 en 64 dzd euro;129
tussen 64 en 66 dzd euro;119
tussen 66 en 68 dzd euro;111
tussen 68 en 70 dzd euro;101
tussen 70 en 72 dzd euro;92
tussen 72 en 74 dzd euro;84
tussen 74 en 76 dzd euro;77
tussen 76 en 78 dzd euro;70
tussen 78 en 80 dzd euro;64
tussen 80 en 82 dzd euro;58
tussen 82 en 84 dzd euro;52
tussen 84 en 86 dzd euro;48
tussen 86 en 88 dzd euro;43
tussen 88 en 90 dzd euro;39
tussen 90 en 92 dzd euro;35
tussen 92 en 94 dzd euro;32
tussen 94 en 96 dzd euro;29
tussen 96 en 98 dzd euro;26
tussen 98 en 100 dzd euro;24
tussen 100 en 102 dzd euro;22
tussen 102 en 104 dzd euro;20
tussen 104 en 106 dzd euro;18
tussen 106 en 108 dzd euro;16
tussen 108 en 110 dzd euro;15
tussen 110 en 112 dzd euro;14
tussen 112 en 114 dzd euro;13
tussen 114 en 116 dzd euro;12
tussen 116 en 118 dzd euro;11
tussen 118 en 120 dzd euro;10
tussen 120 en 122 dzd euro;9
tussen 122 en 124 dzd euro;8
tussen 124 en 126 dzd euro;8
tussen 126 en 128 dzd euro;7
tussen 128 en 130 dzd euro;6
tussen 130 en 132 dzd euro;6
tussen 132 en 134 dzd euro;6
tussen 134 en 136 dzd euro;5
tussen 136 en 138 dzd euro;5
tussen 138 en 140 dzd euro;5
